6739,76305,230,1,2020-09-05 16:20:03
7460,81008,1455,4,2020-09-05 16:20:04
6701,7556,1159,2,2020-09-05 16:20:05
8021,36492,3727,2,2020-09-05 16:20:06
6442,11282,4387,5,2020-09-05 16:20:07
5643,36216,1619,1,2020-09-05 16:20:08
7186,48203,2691,5,2020-09-05 16:20:09
6668,7427,2037,3,2020-09-05 16:20:10
8669,51578,4237,4,2020-09-05 16:20:11
8206,77899,4089,1,2020-09-05 16:20:12
7732,31755,3700,5,2020-09-05 16:20:13
8107,32824,4168,5,2020-09-05 16:20:14
8925,5211,4001,4,2020-09-05 16:20:15
5732,66187,2198,4,2020-09-05 16:20:16
6728,839,1956,2,2020-09-05 16:20:17
6370,63643,2657,2,2020-09-05 16:20:18
8150,76537,1299,4,2020-09-05 16:20:19
5709,67374,157,4,2020-09-05 16:20:20
8719,4068,257,4,2020-09-05 16:20:21
5727,2709,2463,2,2020-09-05 16:20:22
7796,72708,3527,5,2020-09-05 16:20:23
6485,87513,2909,4,2020-09-05 16:20:24
7042,41460,574,4,2020-09-05 16:20:25
8904,35404,2612,4,2020-09-05 16:20:26
6029,19629,1884,1,2020-09-05 16:20:27
8189,23923,366,2,2020-09-05 16:20:28
8323,60958,755,3,2020-09-05 16:20:29
8216,64735,621,4,2020-09-05 16:20:30
6212,83962,2328,5,2020-09-05 16:20:31
6573,63393,1292,4,2020-09-05 16:20:32
6914,39822,3569,3,2020-09-05 16:20:33
5755,52698,3188,4,2020-09-05 16:20:34
8460,11223,598,3,2020-09-05 16:20:35
6509,40772,3121,4,2020-09-05 16:20:36
6084,54176,4676,2,2020-09-05 16:20:37
7432,76819,2649,5,2020-09-05 16:20:38
5675,16386,3847,5,2020-09-05 16:20:39
6696,73447,3156,4,2020-09-05 16:20:40
7291,58811,490,2,2020-09-05 16:20:41
7191,89532,2585,4,2020-09-05 16:20:42
8635,54693,122,3,2020-09-05 16:20:43
7233,81056,2502,4,2020-09-05 16:20:44
6100,54643,1791,4,2020-09-05 16:20:45
8254,23369,3181,1,2020-09-05 16:20:46
5792,15945,1723,2,2020-09-05 16:20:47
7727,36767,4649,1,2020-09-05 16:20:48
8878,83338,1903,5,2020-09-05 16:20:49
8850,53294,1827,3,2020-09-05 16:20:50
7158,58677,2557,3,2020-09-05 16:20:51
7100,10473,2084,3,2020-09-05 16:20:52
7332,21152,3331,2,2020-09-05 16:20:53
7896,17777,3911,2,2020-09-05 16:20:54
7467,7788,1729,2,2020-09-05 16:20:55
6055,20323,3955,5,2020-09-05 16:20:56
6294,76743,133,4,2020-09-05 16:20:57
8021,20132,3727,3,2020-09-05 16:20:58
8305,41753,3066,2,2020-09-05 16:20:59
6940,80369,1889,5,2020-09-05 16:21:00
6891,65424,4238,1,2020-09-05 16:21:01
7857,79853,367,2,2020-09-05 16:21:02
5921,50578,2576,3,2020-09-05 16:21:03
6377,45126,79,5,2020-09-05 16:21:04
7593,63401,4700,4,2020-09-05 16:21:05
6412,21868,938,5,2020-09-05 16:21:06
8529,25673,3745,3,2020-09-05 16:21:07
7837,29745,2178,3,2020-09-05 16:21:08
7212,8732,2316,3,2020-09-05 16:21:09
8282,5479,4133,5,2020-09-05 16:21:10
8624,88407,3573,4,2020-09-05 16:21:11
5624,71829,1621,4,2020-09-05 16:21:12
7761,75902,4701,2,2020-09-05 16:21:13
8071,38559,3861,1,2020-09-05 16:21:14
7804,76481,1517,5,2020-09-05 16:21:15
8820,40268,3202,2,2020-09-05 16:21:16
6036,13759,1337,5,2020-09-05 16:21:17
5844,6208,136,2,2020-09-05 16:21:18
7698,81437,3114,4,2020-09-05 16:21:19
5639,46775,2579,4,2020-09-05 16:21:20
7129,48960,3625,1,2020-09-05 16:21:21
6221,39616,3362,3,2020-09-05 16:21:22
8802,69200,3567,1,2020-09-05 16:21:23
6724,49994,4622,3,2020-09-05 16:21:24
6124,9815,4801,3,2020-09-05 16:21:25
7132,24836,1784,5,2020-09-05 16:21:26
8546,53474,2708,3,2020-09-05 16:21:27
5643,24171,1619,5,2020-09-05 16:21:28
8071,9170,3861,2,2020-09-05 16:21:29
8156,3049,2011,5,2020-09-05 16:21:30
7767,61886,1189,5,2020-09-05 16:21:31
7764,60090,3278,3,2020-09-05 16:21:32
8146,37332,2768,3,2020-09-05 16:21:33
8680,82963,4408,3,2020-09-05 16:21:34
8024,70243,4506,1,2020-09-05 16:21:35
8494,16497,1342,4,2020-09-05 16:21:36
6004,76174,2190,3,2020-09-05 16:21:37
7755,56752,226,5,2020-09-05 16:21:38
